Vertices: 122  Edges: 360  Facets: 240  Bodies: 0  Facetedges: 720
Element memory: 107 KB, or 0 MB
Total data memory: 943 KB, or 0 MB.
Vertices: 482  Edges: 1440  Facets: 960  Bodies: 0  Facetedges: 2880
Element memory: 427 KB, or 0 MB
Total data memory: 1034 KB, or 1 MB.
  0.577350, 0.577350, 0.577350
 -0.577350, 0.577350, 0.577350
  0.577350,-0.577350, 0.577350
  0.577350, 0.577350,-0.577350
  0.000000, 0.356822, 0.934172
  0.000000, 0.356822,-0.934172
  0.356822, 0.934172, 0.000000
 -0.356822, 0.934172, 0.000000
  0.934172, 0.000000, 0.356822
  0.934172, 0.000000,-0.356822
  0.850651, 0.525731, 0.000000
  0.850651,-0.525731, 0.000000
  0.525731, 0.000000, 0.850651
  0.525731, 0.000000,-0.850651
  0.000000, 0.850651,-0.525731
  0.000000, 0.850651, 0.525731
  0.000000, 0.000000, 1.000000
  0.309017, 0.500000, 0.809017
 -0.309017, 0.500000, 0.809017
  0.309017, 0.500000,-0.809017
 -0.309017, 0.500000,-0.809017
  0.000000, 1.000000, 0.000000
  0.500000, 0.809017, 0.309017
  0.500000, 0.809017,-0.309017
 -0.500000, 0.809017, 0.309017
 -0.500000, 0.809017,-0.309017
  1.000000, 0.000000, 0.000000
  0.809017, 0.309017, 0.500000
  0.809017,-0.309017, 0.500000
  0.809017, 0.309017,-0.500000
  0.809017,-0.309017,-0.500000
  0.942084, 0.277497, 0.188342
  0.942084, 0.277497,-0.188342
  0.753743, 0.582240,-0.304743
  0.637341, 0.770582, 0.000000
  0.753743, 0.582240, 0.304743
  0.942084,-0.277497, 0.188342
  0.753743,-0.582240, 0.304743
  0.942084,-0.277497,-0.188342
  0.582240,-0.304743, 0.753743
  0.770582, 0.000000, 0.637341
  0.582240, 0.304743, 0.753743
  0.277497, 0.188342, 0.942084
  0.277497,-0.188342, 0.942084
  0.582240, 0.304743,-0.753743
  0.770582, 0.000000,-0.637341
  0.277497, 0.188342,-0.942084
  0.188342, 0.942084,-0.277497
  0.304743, 0.753743,-0.582240
  0.000000, 0.637341,-0.770582
 -0.304743, 0.753743,-0.582240
 -0.188342, 0.942084,-0.277497
  0.000000, 0.637341, 0.770582
  0.304743, 0.753743, 0.582240
  0.188342, 0.942084, 0.277497
 -0.188342, 0.942084, 0.277497
 -0.304743, 0.753743, 0.582240
 -0.753743, 0.582240, 0.304743
 -0.637341, 0.770582, 0.000000
 -0.277497, 0.188342, 0.942084
 -0.582240, 0.304743, 0.753743
  0.000000, 0.187592, 0.982247
  0.151765, 0.433154, 0.888451
 -0.151765, 0.433154, 0.888451
  0.151765, 0.433154,-0.888451
 -0.151765, 0.433154,-0.888451
  0.187592, 0.982247, 0.000000
  0.433154, 0.888451, 0.151765
  0.433154, 0.888451,-0.151765
 -0.433154, 0.888451, 0.151765
 -0.433154, 0.888451,-0.151765
  0.982247, 0.000000, 0.187592
  0.888451, 0.151765, 0.433154
  0.888451,-0.151765, 0.433154
  0.888451, 0.151765,-0.433154
  0.888451,-0.151765,-0.433154
  0.950626, 0.136806, 0.278556
  0.950626, 0.136806,-0.278556
  0.672070, 0.587519,-0.450714
  0.499913, 0.866076, 0.000000
  0.672070, 0.587519, 0.450714
  0.950626,-0.136806, 0.278556
  0.672070,-0.587519, 0.450714
  0.950626,-0.136806,-0.278556
  0.587519,-0.450714, 0.672070
  0.866076, 0.000000, 0.499913
  0.587519, 0.450714, 0.672070
  0.136806, 0.278556, 0.950626
  0.136806,-0.278556, 0.950626
  0.587519, 0.450714,-0.672070
  0.866076, 0.000000,-0.499913
  0.136806, 0.278556,-0.950626
  0.278556, 0.950626,-0.136806
  0.450714, 0.672070,-0.587519
  0.000000, 0.499913,-0.866076
 -0.450714, 0.672070,-0.587519
 -0.278556, 0.950626,-0.136806
  0.000000, 0.499913, 0.866076
  0.450714, 0.672070, 0.587519
  0.278556, 0.950626, 0.136806
 -0.278556, 0.950626, 0.136806
 -0.450714, 0.672070, 0.587519
 -0.672070, 0.587519, 0.450714
 -0.499913, 0.866076, 0.000000
 -0.136806, 0.278556, 0.950626
 -0.587519, 0.450714, 0.672070
  0.000000,-0.187592, 0.982247
  0.455296, 0.549093, 0.700858
 -0.455296, 0.549093, 0.700858
  0.455296,-0.549093, 0.700858
  0.455296, 0.549093,-0.700858
 -0.187592, 0.982247, 0.000000
  0.549093, 0.700858, 0.455296
  0.549093, 0.700858,-0.455296
 -0.549093, 0.700858, 0.455296
 -0.549093, 0.700858,-0.455296
  0.982247, 0.000000,-0.187592
  0.700858, 0.455296, 0.549093
  0.700858,-0.455296, 0.549093
  0.700858, 0.455296,-0.549093
 -0.700858, 0.455296, 0.549093
  0.907158, 0.410417, 0.092852
  0.907158, 0.410417,-0.092852
  0.814306, 0.560655,-0.150238
  0.756921, 0.653507, 0.000000
  0.814306, 0.560655, 0.150238
  0.907158,-0.410417, 0.092852
  0.814306,-0.560655, 0.150238
  0.814306,-0.560655,-0.150238
  0.907158,-0.410417,-0.092852
  0.560655,-0.150238, 0.814306
  0.653507, 0.000000, 0.756921
  0.560655, 0.150238, 0.814306
  0.410417, 0.092852, 0.907158
  0.410417,-0.092852, 0.907158
  0.560655, 0.150238,-0.814306
  0.653507, 0.000000,-0.756921
  0.560655,-0.150238,-0.814306
  0.410417, 0.092852,-0.907158
  0.092852, 0.907158,-0.410417
  0.150238, 0.814306,-0.560655
  0.000000, 0.756921,-0.653507
 -0.150238, 0.814306,-0.560655
 -0.092852, 0.907158,-0.410417
  0.000000, 0.756921, 0.653507
  0.150238, 0.814306, 0.560655
  0.092852, 0.907158, 0.410417
 -0.092852, 0.907158, 0.410417
 -0.150238, 0.814306, 0.560655
 -0.756921, 0.653507, 0.000000
 -0.410417, 0.092852, 0.907158
  0.863365, 0.437702, 0.251035
  0.792749, 0.453189, 0.407637
  0.888979, 0.297486, 0.348164
  0.959251,-0.282554, 0.000000
  0.985209,-0.141782,-0.096230
  0.985209,-0.141782, 0.096230
  0.437702,-0.251035, 0.863365
  0.297486,-0.348164, 0.888979
  0.453189,-0.407637, 0.792749
  0.437702, 0.251035,-0.863365
  0.297486, 0.348164,-0.888979
  0.453189, 0.407637,-0.792749
  0.000000, 0.959251,-0.282554
 -0.096230, 0.985209,-0.141782
  0.096230, 0.985209,-0.141782
 -0.155148, 0.708216, 0.688737
 -0.311407, 0.637046, 0.705123
 -0.155703, 0.577572, 0.801353
 -0.282554, 0.000000, 0.959251
 -0.141782,-0.096230, 0.985209
 -0.141782, 0.096230, 0.985209
  0.985209, 0.141782, 0.096230
  0.985209, 0.141782,-0.096230
  0.959251, 0.282554, 0.000000
  0.888979, 0.297486,-0.348164
  0.792749, 0.453189,-0.407637
  0.863365, 0.437702,-0.251035
  0.637046, 0.705123,-0.311407
  0.577572, 0.801353,-0.155703
  0.708216, 0.688737,-0.155148
  0.577572, 0.801353, 0.155703
  0.637046, 0.705123, 0.311407
  0.708216, 0.688737, 0.155148
  0.888979,-0.297486, 0.348164
  0.792749,-0.453189, 0.407637
  0.863365,-0.437702, 0.251035
  0.792749,-0.453189,-0.407637
  0.888979,-0.297486,-0.348164
  0.863365,-0.437702,-0.251035
  0.705123,-0.311407, 0.637046
  0.801353,-0.155703, 0.577572
  0.688737,-0.155148, 0.708216
  0.801353, 0.155703, 0.577572
  0.705123, 0.311407, 0.637046
  0.688737, 0.155148, 0.708216
  0.453189, 0.407637, 0.792749
  0.297486, 0.348164, 0.888979
  0.437702, 0.251035, 0.863365
  0.141782, 0.096230, 0.985209
  0.141782,-0.096230, 0.985209
  0.282554, 0.000000, 0.959251
  0.705123, 0.311407,-0.637046
  0.801353, 0.155703,-0.577572
  0.688737, 0.155148,-0.708216
  0.801353,-0.155703,-0.577572
